iter	Passed	Remaining
0	30	30092
1	60	30170
2	94	31483
3	145	36300
4	193	38524
5	235	39000
6	273	38828
7	313	38846
8	346	38196
9	385	38120
10	418	37666
11	449	37027
12	492	37420
13	521	36743
14	560	36820
15	594	36543
16	635	36727
17	672	36684
18	702	36292
19	741	36337
20	775	36138
21	806	35862
22	841	35762
23	870	35417
24	899	35099
25	928	34801
26	956	34478
27	988	34302
28	1020	34164
29	1047	33879
30	1075	33631
31	1104	33409
32	1135	33269
33	1161	33004
34	1192	32888
35	1233	33017
36	1278	33279
37	1326	33570
38	1365	33653
39	1436	34465
40	1473	34464
41	1505	34338
42	1544	34382
43	1590	34551
44	1656	35157
45	1706	35393
46	1750	35496
47	1792	35553
48	1828	35479
49	1857	35285
50	1894	35255
51	1921	35038
52	1948	34811
53	1975	34610
54	2008	34515
55	2037	34351
56	2068	34215
57	2099	34103
58	2133	34031
59	2171	34023
60	2207	33981
61	2244	33959
62	2278	33894
63	2311	33812
64	2344	33726
65	2409	34104
66	2450	34123
67	2478	33964
68	2511	33893
69	2549	33871
70	2583	33799
71	2614	33699
72	2644	33578
73	2673	33457
74	2711	33446
75	2748	33414
76	2776	33276
77	2804	33147
78	2846	33182
79	2874	33053
80	2906	32977
81	2941	32935
82	2970	32820
83	3000	32714
84	3031	32632
85	3058	32506
86	3086	32391
87	3114	32275
88	3139	32139
89	3168	32036
90	3196	31925
91	3225	31830
92	3256	31764
93	3286	31677
94	3317	31600
95	3344	31498
96	3374	31415
97	3406	31349
98	3435	31262
99	3462	31163
100	3498	31137
101	3536	31131
102	3567	31069
103	3597	30991
104	3625	30903
105	3651	30794
106	3678	30703
107	3706	30615
108	3734	30529
109	3765	30469
110	3800	30441
111	3830	30368
112	3859	30292
113	3890	30236
114	3924	30202
115	3951	30116
116	3987	30095
117	4022	30069
118	4052	29998
119	4083	29945
120	4118	29915
121	4148	29858
122	4179	29796
123	4209	29736
124	4238	29670
125	4271	29629
126	4303	29580
127	4336	29543
128	4362	29457
129	4401	29454
130	4437	29434
131	4466	29371
132	4499	29332
133	4527	29262
134	4556	29195
135	4586	29136
136	4620	29102
137	4653	29066
138	4688	29040
139	4729	29053
140	4771	29066
141	4829	29183
142	4888	29296
143	4928	29297
144	4972	29322
145	5022	29381
146	5081	29484
